Filename                                                     Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
common/onionreply.c                                               32                 2    93.75%           4                 0   100.00%          25                 1    96.00%           4                 1    75.00%
common/overflows.h                                                 9                 3    66.67%           6                 3    50.00%          26                12    53.85%           2                 0   100.00%
common/peer_status_wiregen.c                                      19                 7    63.16%           4                 2    50.00%          40                16    60.00%          12                 9    25.00%
common/penalty_base.c                                              6                 0   100.00%           3                 0   100.00%          21                 0   100.00%           0                 0         -
common/per_peer_state.c                                           13                 2    84.62%           4                 1    75.00%          18                 4    77.78%           2                 1    50.00%
common/permute_tx.c                                               40                 2    95.00%           5                 0   100.00%          69                 2    97.10%          26                 2    92.31%
common/psbt_keypath.c                                             15                 3    80.00%           2                 0   100.00%          28                 3    89.29%           8                 3    62.50%
common/psbt_open.c                                               307                84    72.64%          29                 0   100.00%         342                33    90.35%         110                28    74.55%
common/pseudorand.c                                               17                 0   100.00%           6                 0   100.00%          42                 0   100.00%           6                 0   100.00%
common/random_select.c                                             4                 1    75.00%           1                 0   100.00%           6                 1    83.33%           2                 1    50.00%
common/scb_wiregen.c                                              29                 7    75.86%           6                 2    66.67%          62                16    74.19%          16                10    37.50%
common/setup.c                                                    25                 4    84.00%           6                 0   100.00%          40                 5    87.50%           8                 4    50.00%
common/shutdown_scriptpubkey.c                                    57                 3    94.74%           2                 0   100.00%          41                 4    90.24%          56                17    69.64%
common/sphinx.c                                                  284                24    91.55%          35                 0   100.00%         492                36    92.68%          96                27    71.88%
common/status_levels.c                                            28                 2    92.86%           3                 0   100.00%          28                 2    92.86%          12                 2    83.33%
common/status_wire.c                                              10                 5    50.00%           4                 1    75.00%          22                11    50.00%           4                 3    25.00%
common/status_wiregen.c                                           90                29    67.78%          14                 4    71.43%         146                44    69.86%          50                36    28.00%
common/timeout.c                                                  20                 7    65.00%           5                 2    60.00%          31                13    58.06%           0                 0         -
common/trace.c                                                   101                17    83.17%          15                 2    86.67%         146                23    84.25%          30                 8    73.33%
common/tx_roles.c                                                  5                 5     0.00%           2                 2     0.00%          11                11     0.00%           2                 2     0.00%
common/type_to_string.c                                           18                 5    72.22%           1                 0   100.00%          20                 1    95.00%          10                 2    80.00%
common/type_to_string.h                                            2                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
common/utils.c                                                    86                 9    89.53%          16                 1    93.75%         111                17    84.68%          32                 8    75.00%
common/utils.h                                                     8                 0   100.00%           2                 0   100.00%           6                 0   100.00%           4                 0   100.00%
common/utxo.c                                                     32                 5    84.38%           4                 0   100.00%          65                 8    87.69%          14                 3    78.57%
common/utxo.h                                                     14                 7    50.00%           2                 0   100.00%          18                10    44.44%           8                 5    37.50%
common/version.c                                                  18                 3    83.33%           5                 0   100.00%          23                 3    86.96%           2                 1    50.00%
common/wallet.c                                                    2                 0   100.00%           2                 0   100.00%           7                 0   100.00%           0                 0         -
common/wire_error.c                                               69                 7    89.86%           8                 0   100.00%          78                 6    92.31%          26                 4    84.62%
common/wireaddr.c                                                588               295    49.83%          34                 5    85.29%         688               279    59.45%         390               200    48.72%
connectd/connectd_wiregen.c                                      426                75    82.39%          52                 4    92.31%         653                96    85.30%         238                99    58.40%
db/bindings.c                                                    217                12    94.47%          68                 0   100.00%         386                16    95.85%          54                11    79.63%
db/db_postgres.c                                                 107               107     0.00%          20                20     0.00%         215               215     0.00%          48                48     0.00%
db/db_sqlite3.c                                                  307                97    68.40%          28                 1    96.43%         432               106    75.46%         106                36    66.04%
db/exec.c                                                         58                 5    91.38%           9                 0   100.00%         100                 8    92.00%          24                 7    70.83%
db/utils.c                                                       173                22    87.28%          23                 1    95.65%         241                38    84.23%          82                26    68.29%
external/jsmn/jsmn.c                                             197                23    88.32%           6                 0   100.00%         217                31    85.71%         202                45    77.72%
gossipd/gossipd_wiregen.c                                        373                74    80.16%          58                 4    93.10%         579                84    85.49%         204                97    52.45%
header_versions_gen.h                                              9                 3    66.67%           1                 0   100.00%          11                 6    45.45%           6                 3    50.00%
hsmd/hsmd_wiregen.c                                             1037               282    72.81%         148                15    89.86%        1642               367    77.65%         564               313    44.50%
lightningd/anchorspend.c                                         217                17    92.17%          10                 0   100.00%         289                18    93.77%          90                14    84.44%
lightningd/bitcoind.c                                            347                51    85.30%          25                 1    96.00%         444                79    82.21%          94                31    67.02%
lightningd/chaintopology.c                                       597                48    91.96%          58                 1    98.28%         854                65    92.39%         278                38    86.33%
lightningd/chaintopology.h                                         7                 1    85.71%           7                 1    85.71%          26                 4    84.62%           0                 0         -
lightningd/channel.c                                             491                43    91.24%          39                 1    97.44%         720                67    90.69%         214                38    82.24%
lightningd/channel.h                                             147                27    81.63%          12                 2    83.33%         235                69    70.64%         270                73    72.96%
lightningd/channel_control.c                                     927               220    76.27%          57                 2    96.49%        1590               443    72.14%         462               148    67.97%
lightningd/closed_channel.c                                       55                13    76.36%           2                 0   100.00%          84                13    84.52%          38                19    50.00%
lightningd/closing_control.c                                     422                94    77.73%          19                 2    89.47%         638               173    72.88%         254                85    66.54%
lightningd/coin_mvts.c                                            76                 4    94.74%           8                 0   100.00%         111                 4    96.40%          48                11    77.08%
lightningd/configs.c                                             382                43    88.74%          19                 0   100.00%         406                53    86.95%         216                56    74.07%
lightningd/connect_control.c                                     390                56    85.64%          35                 0   100.00%         531                88    83.43%         214                59    72.43%
lightningd/datastore.c                                           202                 9    95.54%           8                 0   100.00%         251                21    91.63%         112                13    88.39%
lightningd/dual_open_control.c                                  1613               967    40.05%          73                29    60.27%        2799              1644    41.26%         738               480    34.96%
lightningd/feerate.c                                             102                24    76.47%           5                 0   100.00%         150                52    65.33%          84                32    61.90%
lightningd/forwards.c                                            120                11    90.83%          11                 0   100.00%         173                23    86.71%          74                13    82.43%
lightningd/forwards.h                                             12                 5    58.33%           2                 0   100.00%          26                 8    69.23%          20                 6    70.00%
lightningd/gossip_control.c                                      299                62    79.26%          26                 0   100.00%         434                97    77.65%         166                60    63.86%
lightningd/hsm_control.c                                         171                43    74.85%           9                 1    88.89%         182                50    72.53%          74                28    62.16%
lightningd/htlc_end.c                                            221                63    71.49%          16                 1    93.75%         232                75    67.67%         112                38    66.07%
lightningd/htlc_end.h                                              8                 0   100.00%           4                 0   100.00%          12                 0   100.00%           8                 4    50.00%
lightningd/htlc_set.c                                            110                26    76.36%           7                 0   100.00%         126                41    67.46%          30                 9    70.00%
lightningd/htlc_set.h                                              3                 0   100.00%           3                 0   100.00%           9                 0   100.00%           0                 0         -
lightningd/invoice.c                                             876               135    84.59%          46                 1    97.83%        1287               218    83.06%         424               114    73.11%
lightningd/io_loop_with_timers.c                                  11                 0   100.00%           1                 0   100.00%          15                 0   100.00%           8                 0   100.00%
lightningd/jsonrpc.c                                             776               119    84.66%          72                 1    98.61%        1013               147    85.49%         318                90    71.70%
lightningd/jsonrpc.h                                               2                 0   100.00%           2                 0   100.00%           5                 0   100.00%           0                 0         -
lightningd/lightningd.c                                          333                64    80.78%          30                 6    80.00%         542                83    84.69%         110                41    62.73%
lightningd/log.c                                                 548                97    82.30%          52                 5    90.38%         696               114    83.62%         256                62    75.78%
lightningd/log_status.c                                           29                 3    89.66%           1                 0   100.00%          29                 2    93.10%          24                 7    70.83%
lightningd/memdump.c                                              95                44    53.68%          12                 5    58.33%         148                65    56.08%          42                25    40.48%
lightningd/notification.c                                        208                 3    98.56%          40                 0   100.00%         448                 4    99.11%          72                 4    94.44%
lightningd/offer.c                                               246                50    79.67%          14                 0   100.00%         405                83    79.51%         130                46    64.62%
lightningd/onchain_control.c                                     529                74    86.01%          45                 0   100.00%        1026               146    85.77%         210                51    75.71%
lightningd/onion_message.c                                       160                28    82.50%           8                 0   100.00%         214                42    80.37%          70                19    72.86%
lightningd/opening_common.c                                       44                 3    93.18%           7                 0   100.00%          73                 4    94.52%          14                 4    71.43%
lightningd/opening_control.c                                     544                80    85.29%          22                 1    95.45%        1078               177    83.58%         260                70    73.08%
lightningd/options.c                                            1656               449    72.89%          78                12    84.62%        1466               344    76.53%         584               240    58.90%
lightningd/pay.c                                                 882               102    88.44%          42                 1    97.62%        1328               185    86.07%         434                82    81.11%
lightningd/peer_control.c                                       1618               280    82.69%          76                 2    97.37%        2267               412    81.83%         952               239    74.89%
lightningd/peer_control.h                                          6                 0   100.00%           5                 0   100.00%          16                 0   100.00%           0                 0         -
lightningd/peer_fd.c                                              11                 0   100.00%           3                 0   100.00%          14                 0   100.00%           2                 0   100.00%
lightningd/peer_htlcs.c                                         1287               250    80.57%          69                 2    97.10%        2020               476    76.44%         644               199    69.10%
lightningd/ping.c                                                 35                 5    85.71%           2                 0   100.00%          46                12    73.91%          14                 4    71.43%
lightningd/plugin.c                                             1549               292    81.15%          92                 1    98.91%        1625               207    87.26%         630               128    79.68%
lightningd/plugin_control.c                                      136                12    91.18%          12                 0   100.00%         189                18    90.48%          58                10    82.76%
lightningd/plugin_hook.c                                         296                10    96.62%          18                 0   100.00%         337                25    92.58%         116                14    87.93%
lightningd/plugin_hook.h                                           1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lightningd/routehint.c                                           178                26    85.39%           2                 0   100.00%         194                49    74.74%          64                13    79.69%
lightningd/runes.c                                               480                52    89.17%          31                 0   100.00%         553                60    89.15%         240                47    80.42%
lightningd/signmessage.c                                          99                11    88.89%           5                 0   100.00%         150                15    90.00%          52                16    69.23%
lightningd/subd.c                                                507               167    67.06%          38                 6    84.21%         633               209    66.98%         232               109    53.02%
lightningd/wait.c                                                 87                 6    93.10%           8                 0   100.00%         118                 8    93.22%          44                 6    86.36%
lightningd/watch.c                                                74                 2    97.30%          17                 0   100.00%         145                 2    98.62%          42                 4    90.48%
onchaind/onchaind_wire.c                                           2                 0   100.00%           2                 0   100.00%          12                 0   100.00%           0                 0         -
onchaind/onchaind_wiregen.c                                      387                82    78.81%          52                 4    92.31%         675                94    86.07%         210               106    49.52%
openingd/dualopend_wiregen.c                                     536               376    29.85%          70                44    37.14%         990               660    33.33%         288               207    28.12%
openingd/openingd_wiregen.c                                      234                75    67.95%          26                 5    80.77%         469               140    70.15%         126                61    51.59%
wallet/db.c                                                      383                46    87.99%          25                 0   100.00%         680                57    91.62%         130                26    80.00%
wallet/invoices.c                                                289                10    96.54%          34                 0   100.00%         551                13    97.64%          92                13    85.87%
wallet/psbt_fixup.c                                               68                18    73.53%           8                 0   100.00%         119                26    78.15%          40                16    60.00%
wallet/reservation.c                                             481                56    88.36%          14                 0   100.00%         631               109    82.73%         206                41    80.10%
wallet/txfilter.c                                                 43                 1    97.67%          14                 0   100.00%          73                 1    98.63%           8                 1    87.50%
wallet/wallet.c                                                 2481               243    90.21%         173                 5    97.11%        4782               393    91.78%         754               141    81.30%
wallet/wallet.h                                                  273                54    80.22%          12                 0   100.00%         251                53    78.88%         150                25    83.33%
wallet/walletrpc.c                                               414                73    82.37%          21                 1    95.24%         631               118    81.30%         202                47    76.73%
wire/bolt12_wiregen.c                                            894               221    75.28%         178                25    85.96%        1260               237    81.19%         218                70    67.89%
wire/channel_type_wiregen.c                                        7                 0   100.00%           2                 0   100.00%          13                 0   100.00%           0                 0         -
wire/fromwire.c                                                  107                18    83.18%          27                 5    81.48%         172                34    80.23%          54                15    72.22%
wire/onion_wiregen.c                                             533               238    55.35%         103                37    64.08%         785               330    57.96%         208               118    43.27%
wire/peer_wire.c                                                 168                19    88.69%           5                 0   100.00%         185                19    89.73%         308                70    77.27%
wire/peer_wiregen.c                                             1280               354    72.34%         242                56    76.86%        2162               494    77.15%         506               172    66.01%
wire/tlvstream.c                                                 179                36    79.89%          13                 1    92.31%         196                52    73.47%          86                31    63.95%
wire/towire.c                                                     40                 5    87.50%          24                 5    79.17%         101                15    85.15%           6                 0   100.00%
